locality,Price,Number_bedrooms,Living_area
179441.8918918919,151000,1.0,46.0
227600.0,169000,1.0,58.0
184500.0,120000,1.0,64.0
208454.54545454544,209900,2.0,85.0
227600.0,238000,2.0,94.0
296970.5882352941,169000,1.0,65.0
208454.54545454544,214900,2.0,86.0
179441.8918918919,129000,1.0,45.0
240558.82352941178,240000,1.0,80.0
208454.54545454544,209900,2.0,84.0
435875.0,80000,2.0,72.0
144980.0,89900,1.0,60.0
192000.0,180000,2.0,81.0
179441.8918918919,145000,2.0,93.0
203777.77777777778,199500,1.0,77.0
296970.5882352941,299500,2.0,98.0
206306.41176470587,175000,2.0,282.0
220400.0,205000,2.0,84.0
203777.77777777778,180000,1.0,65.0
203777.77777777778,199500,1.0,77.0
203777.77777777778,220000,2.0,82.0
240558.82352941178,229000,2.0,88.0
203777.77777777778,215000,2.0,94.0
271724.3243243243,220000,2.0,105.0
116000.0,140000,3.0,101.0
221000.0,240000,3.0,166.0
252069.38775510204,120000,1.0,34.0
296970.5882352941,250000,3.0,87.0
286750.0,264000,2.0,91.0
179441.8918918919,259000,2.0,78.0
252069.38775510204,260000,3.0,108.0
252069.38775510204,265000,2.0,77.0
252069.38775510204,220000,4.0,98.0
182207.14285714287,199000,2.0,104.0
154500.0,98000,1.0,31.0
296970.5882352941,135000,2.0,48.0
206306.41176470587,204000,2.0,115.0
206306.41176470587,239000,3.0,124.0
296970.5882352941,308000,3.0,113.0
179750.0,170000,2.0,64.0
179750.0,180000,2.0,83.0
179750.0,190000,3.0,93.0
179441.8918918919,260000,2.0,88.0
252069.38775510204,250000,2.0,105.0
252069.38775510204,279000,2.0,76.0
271724.3243243243,169000,1.0,67.0
271724.3243243243,210000,2.0,80.0
154500.0,245000,1.0,61.0
527739.1304347826,420000,2.0,124.0
299330.5970149254,289000,1.0,82.0
411343.975,297000,1.0,58.0
299330.5970149254,309000,1.0,82.0
411343.975,367000,2.0,71.0
401304.347826087,375000,2.0,86.0
411343.975,530000,2.0,117.0
260753.96825396825,140000,1.0,56.0
260753.96825396825,175000,2.0,77.0
238888.88888888888,269000,2.0,98.0
411343.975,295000,2.0,87.0
379318.75,324500,2.0,110.0
238888.88888888888,395000,2.0,100.0
411343.975,475000,2.0,140.0
379318.75,530000,2.0,109.0
251333.33333333334,205000,2.0,89.0
227600.0,238000,2.0,91.0
240558.82352941178,239500,2.0,89.0
179441.8918918919,145000,2.0,60.0
271724.3243243243,259000,2.0,88.0
251333.33333333334,319000,3.0,109.0
227600.0,238000,2.0,92.0
299330.5970149254,279000,1.0,82.0
411343.975,380000,2.0,97.0
411343.975,265000,2.0,75.0
271724.3243243243,138000,1.0,43.0
271724.3243243243,143000,1.0,43.0
271724.3243243243,165000,2.0,74.0
271724.3243243243,123000,1.0,43.0
435875.0,89000,1.0,47.0
240558.82352941178,210000,2.0,92.0
196111.11111111112,230000,2.0,83.0
206306.41176470587,210000,2.0,99.0
144980.0,185000,2.0,80.0
209000.0,209000,2.0,108.0
252069.38775510204,253000,2.0,80.0
252069.38775510204,265000,1.0,75.0
179441.8918918919,179000,2.0,85.0
208454.54545454544,165000,1.0,56.0
271724.3243243243,159000,1.0,60.0
286750.0,289000,2.0,84.0
252069.38775510204,345000,2.0,110.0
221000.0,180000,2.0,94.0
227600.0,255000,2.0,101.0
179441.8918918919,150000,2.0,60.0
252069.38775510204,169000,1.0,52.0
208454.54545454544,234250,2.0,82.0
182207.14285714287,195000,2.0,97.0
208454.54545454544,239900,3.0,102.0
208454.54545454544,228850,2.0,84.0
179441.8918918919,172500,1.0,56.0
271724.3243243243,215000,2.0,96.0
208454.54545454544,214900,2.0,83.0
271724.3243243243,333800,3.0,122.0
207000.0,180000,2.0,80.0
206306.41176470587,205000,2.0,102.0
206306.41176470587,210000,2.0,103.0
206306.41176470587,245000,2.0,126.0
240558.82352941178,249000,2.0,75.0
252069.38775510204,225000,2.0,72.0
299330.5970149254,346100,2.0,99.0
252560.162601626,135000,2.0,85.0
260753.96825396825,210000,2.0,100.0
379318.75,285000,2.0,93.0
299330.5970149254,325000,3.0,114.0
341000.0,390000,2.0,100.0
483625.0,399000,2.0,130.0
483625.0,620000,3.0,204.0
527739.1304347826,399000,1.0,94.0
527739.1304347826,599000,2.0,153.0
374320.2702702703,249900,1.0,65.0
238500.0,275000,2.0,100.0
299330.5970149254,215000,2.0,60.0
401304.347826087,255000,1.0,65.0
374320.2702702703,255000,1.0,65.0
411343.975,365000,2.0,89.0
374320.2702702703,365000,2.0,93.0
374320.2702702703,675000,3.0,207.0
379318.75,371850,3.0,128.0
374320.2702702703,370000,2.0,88.0
238722.22222222222,224000,1.0,68.0
292142.85714285716,155000,2.0,65.0
252560.162601626,150000,2.0,75.0
374320.2702702703,350000,1.0,77.0
238722.22222222222,268000,2.0,101.0
379318.75,356725,2.0,106.0
527739.1304347826,675000,2.0,160.0
299330.5970149254,292000,2.0,96.0
527739.1304347826,390000,1.0,95.0
527739.1304347826,397000,1.0,98.0
379318.75,595000,3.0,145.0
252560.162601626,175000,2.0,75.0
374320.2702702703,345000,2.0,75.0
356666.6666666667,400000,2.0,160.0
299330.5970149254,535000,3.0,122.0
527739.1304347826,210000,1.0,68.0
401304.347826087,365000,2.0,93.0
206306.41176470587,231209,2.0,91.0
286750.0,294000,2.0,74.0
286750.0,303500,2.0,85.0
260753.96825396825,200000,2.0,125.0
376419.1875,307549,2.0,84.0
376419.1875,374271,3.0,103.0
299330.5970149254,279000,1.0,82.0
299330.5970149254,289000,1.0,82.0
299330.5970149254,289000,1.0,82.0
299330.5970149254,309000,1.0,82.0
299330.5970149254,349000,2.0,90.0
388468.75,250000,1.0,67.0
379318.75,300000,2.0,90.0
350000.0,300000,2.0,90.0
252069.38775510204,225000,2.0,89.0
251333.33333333334,230000,3.0,85.0
